Date,City,Shelter Type,Shelter Name,Organization,Shelter,Funded,Capacity,Overnight,Year,Month
10/24/2015 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,199,2015,10
04/28/2013 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2013,4
11/17/2013 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,58,2013,11
01/07/2015 12:00:00 AM,Edmonton,Intox,Hope Mission - Intox Centre,Hope Mission,Intox Centre,70,70,71,2015,1
05/02/2018 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,46,2018,5
04/06/2013 12:00:00 AM,Edmonton,Short Term Supportive,Edwardson Place - Short Term Supportive,Edwardson Place,,20,24,18,2013,4
11/09/2016 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,25,2016,11
10/20/2017 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,65,2017,10
11/09/2018 12:00:00 AM,Edmonton,Women Emergency,WEAC,WEAC,,66,66,63,2018,11
11/18/2014 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,58,2014,11
07/11/2013 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2013,7
07/14/2016 12:00:00 AM,Edmonton,Winter Emergency,Hope Mission - Mat Emergency Shelter Program,Hope Mission,Mat Emergency Shelter Program,130,200,148,2016,7
10/15/2018 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,51,2018,10
05/16/2014 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,33,2014,5
08/05/2018 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,126,2018,8
02/15/2014 12:00:00 AM,Edmonton,Short Term Supportive,Elizabeth House - Short Term Supportive,Elizabeth House,,20,24,22,2014,2
10/20/2015 12:00:00 AM,Edmonton,Women Emergency,WEAC,WEAC,,66,66,65,2015,10
08/16/2014 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,56,2014,8
01/13/2018 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,45,2018,1
08/27/2015 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,34,2015,8
01/15/2017 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,63,2017,1
04/22/2018 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,143,2018,4
06/14/2018 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,163,2018,6
11/21/2013 12:00:00 AM,Edmonton,Intox,Hope Mission - Intox Centre,Hope Mission,Intox Centre,70,70,71,2013,11
03/24/2018 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,57,2018,3
10/27/2013 12:00:00 AM,Edmonton,Short Term Supportive,Elizabeth House - Short Term Supportive,Elizabeth House,,20,24,20,2013,10
04/06/2014 12:00:00 AM,Edmonton,Short Term Supportive,Edwardson Place - Short Term Supportive,Edwardson Place,,20,24,19,2014,4
01/29/2017 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,19,2017,1
02/02/2014 12:00:00 AM,Edmonton,Short Term Supportive,Edwardson Place - Short Term Supportive,Edwardson Place,,20,24,18,2014,2
08/03/2016 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2016,8
10/27/2016 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,18,2016,10
01/02/2015 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2015,1
05/20/2018 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,126,2018,5
08/23/2017 12:00:00 AM,Edmonton,Women Emergency,WEAC,WEAC,,66,66,60,2017,8
08/08/2015 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,31,2015,8
05/15/2017 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2017,5
08/25/2018 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,118,2018,8
12/15/2013 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,305,2013,12
02/21/2014 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,39,2014,2
03/14/2014 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,278,2014,3
07/06/2016 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,104,2016,7
11/29/2014 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2014,11
12/02/2015 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,49,2015,12
10/29/2017 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,57,2017,10
08/09/2015 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,51,2015,8
08/05/2016 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,38,2016,8
12/03/2017 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,124,2017,12
12/31/2016 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,47,2016,12
03/15/2014 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,74,2014,3
08/29/2016 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,44,2016,8
06/02/2014 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,221,2014,6
01/07/2018 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,59,2018,1
